laptop_nbr,item_id,name,brand,price,rating,review
1,183906479,"Laptop Dell Latitude 5300 , Laptop 13.3"" Intel Core i5-8365U 1.6GHz up to 4.1GHz, 8GB DDR4 RAM, 256GB SSD Laptop",No Brand,39450,4.666666666666667,21
2,496127676,Dell Wyse 5470 Thin Client Laptop Intel Celeron N4100 8GB RAM 256GB SSD 14 Inch FHD Display Windows 10 Home with Free Wireless Keyboard Mouse 1 Year Warranty Nepal,No Brand,33199,5.0,1
3,511961371,"DELL inspiron 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 3535 Laptop Laptop (15.6 Inch, Platinum Silver, 1.63 kg, With MS Office)",No Brand,78100,,
4,511941121,"HP VICTUS 15 I5 13TH GEN 13420H 8GB RAM 512GB SSD RTX3050-6GB VRAM 15.6"" 144HZ FHD DISPLAY 1 YEAR WARRENTY",,102500,,
5,156116586,Acer NITRO V 16 AMD Ryzen 7 8845HS RTX 3050 6GB Graphics – 16GB DDR5 RAM – 512GB NVMe SSD – 16″ WUXGA 165Hz Display – Windows 11 Home,No Brand,133999,5.0,1
6,488108320,Great Asia TkE-140C | 16/256 | SSD | HD display,No Brand,38958,4.0,2
7,109660305,HP 15.6 inch FHD Laptop | Intel Core i3-N305 Processor | Intel UHD Graphics Silver | 8GB RAM | 128GB SSD | Windows 11 Home,,49000,5.0,3
8,479583083,Lenovo IdeaPad Slim 3 Intel Core i5 13th Gen 13420H – 16GB DDR5 RAM – 512GB NVMe SSD – Intel Integrated Graphics – 15.6″ FHD Display – Arctic Grey,No Brand,89000,,
9,511919736,"Acer Swift Neo OLED AI PC Intel Core Ultra 5 115U - (16 GB/512 GB SSD/Windows 11 Home) SFN14-54H Thin and Light Laptop (14 Inch, Metallic Brown, 1.3 Kg, With MS Office)",No Brand,102499,,
10,129691037,Acer Aspire lite Core 3 N355 -13th Gen 8GB RAM-512GB SS-14 FHD 2 Years Warranty,No Brand,58897,5.0,1
11,480136334,Acer Aspire 3 Intel Celeron N4500 | 8 GB RAM | 256GB SSD | 15.6 ” FHD | 1 Year Warranty,No Brand,47990,5.0,1
12,504693812,Laptop i7 8th Gen Dell Latitude 5300 Laptop 13.3 - Intel Core i7 8th Gen - i7-8665U - Quad Core 4.8Ghz - 256GB SSD - 8GB RAM - 1920x1080 FHD - Windows 11 Pro,No Brand,47300,,
13,506367970,MacBook Pro 14 inch M5 Chip,Apple,279900,,
14,500372213,ASUS Vivobook X1404 Intel Core i3 13th Gen 1315U – 8GB DDR4 RAM – 256GB NVMe SSD – 14.0″ FHD (1920 x 1080) Display – Intel® UHD Graphics – Windows 11 – Quiet Blue,No Brand,58500,,0
15,501844879,Lenovo Ideapad Slim 3 RYZEN 3 -7320U | 8GB RAM | 512GB SSD |14″ FHD | Backlit Keyboard | Win 11 | 1 Years Warranty,No Brand,58990,,
16,482617368,Acer Aspire AMD Ryzen 5 - 7430 / 16GB RAM/ 512GB SSD |15.6 FHD IPS Display,No Brand,78000,,
17,510602212,Asus Vivobook 15 Core 5 120U 14th Gen |16GB RAM| 512GB SSD |15.6″ FHD| Win11 | 1 Years Warranty,No Brand,80990,,
18,511935583,"DELL 15 DC15250  i5 13TH GEN 1334U 8GB RAM 512GB SSD 15.6"" FHD DISPLAY Backlite Black 1 YEAR WARRENTY",Dell,76500,,
19,511952455,Dell Latitude 5300,Della Stella,35000,,
20,511936134,"HP VICTUS 15 RYZEN 5 8645HS 16GB RAM 512GB SSD RTX3050-6GB VRAM 15.6"" 144HZ DISPLAY 1 YEAR WARRENTY",,105500,,
21,482566766,"Acer Aspire 3 | Intel Celeron N4500 | 8GB RAM | 256GB SSD | 15.6"" FHD | Silver",No Brand,49000,,
22,458250339,HP Victus 15 AMD Ryzen 7 7445HS – RTX 4050 6GB Graphics – 16GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD 144Hz Display – Windows 11 Home – Backlit Keyboard – Black,No Brand,129540,,
23,509036417,"Lenovo V14 G4 IRU i5 1335U | 8GB RAM | 512GB SSD | 14"" FHD Display | 1 Year Warranty",No Brand,79000,,
24,117770489,"Apple MacBook Air 13.6"" M2/8C CPU/8C GPU/16GB/256GB - EvoStore",Apple,119900,4.826086956521739,23
25,505350961,"HP 15.6"" Laptop 15-fd0113dx – Intel Core i3 N305, 8GB RAM, 128GB UFS, Natural Silver",,56133,,
26,499663921,"HP OmniBook 5 Flip 14-FP0023 Core™ 7 150U 512GB SSD 16GB 14"" (1920x1200) TOUCHSCREEN WIN11 GLACIER SILVER Backlit Keyboard.Laptop",No Brand,121500,,
27,511957839,Dell Inspiron 7445-A124CLD 2-in-1 AMD Ryzen 5-8640HS | 16GB RAM | 512GB SSD |14 ” FHD Touch Screen | Backlit Keyboard | Win 11 | 1 Years Warranty,No Brand,108990,,
28,500256668,"Lenovo Laptop Idea pad Slim 3 Ryzen 5 7520U | 8GB DDR5 | 256GB SSD | 14"" FHD | Arctic Grey",No Brand,64999,,
29,474836422,ASUS ROG Strix G16 G615JHR | Intel Core i7 14th Gen 14650HX | 16GB RAM| 1TB NVMe SSD| 16.0'' WQXGA 240Hz Display | NVIDIA RTX 5050 - 8GB| Windows 11| ROG Backpack | Mouse| Volt Green | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani Internationa,ASUS,269900,,
30,128021709,"Lenovo V15 Intel Core i5-1235U, 8GB RAM 256GB SSD, 15.6""FHD",No Brand,64997,,
31,512553047,"HP Victus 15-FA2013 Gaming Laptop | Core i5-13420H | RTX 3050 6GB | 8GB RAM | 512GB SSD | 15.6"" FHD 144Hz",No Brand,105000,,
32,511345156,ASUS E1504FA Ryzen 5 7520 8GB RAM 512GB SSD 15.6 inch Laptop,ASUS,75141,,
33,147025,HP Probook-440-G1/ i5/ 4th Gen/ 4GB / 500GB / 14'' Notebook - Black/Silver,Generic,70000,,
34,511938158,"Lenovo Ideapad Slim 3i i5 13th Gen | 16GB RAM | 512GB SSD | 15.3"" WUXGA Display | BKLIT KB 1 Year Warranty",Lenovo,92500,,
35,510296300,"Lenovo IdeaPad Slim 3 (AMD Ryzen 3 7320U Processor | 8GB RAM | 256GB SSD | 15.6"" FHD (1920 x 1080) IPS Display | 1 Year Warranty)",Lenovo,62000,,
36,511872565,"Dell Latitude 3410 14"" No Notebook - 1920 x 1280 - Core i5 i5-10310U 10th Gen 1.7GHz Hexa-core (6 Core) - 8GB RAM - 256GB SSD",No Brand,52200,,
